holding_id,account_id,ticker_symbol,asset_name,asset_class,quantity,cost_basis,market_value,last_updated
hld_e051a728-326f-4555-999c-3bc5fa2c08fd,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,VNQ,Vanguard Real Estate ETF,Real Estate,467.94,84800.09,175442.32,2025-06-17 13:37:44
hld_082c87bf-4a89-4172-831c-59fab64a3c11,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,MSFT,Microsoft Corporation,Equity,155.08,121007.37,161716.76,2025-06-17 13:37:44
hld_3475e66c-3d6d-4ce7-994c-37cfb66154f8,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,ETH-USD,Ethereum,Cryptocurrency,401.8,82943.57,164773.64,2025-06-17 13:37:44
hld_c4ee337a-3541-4c9f-8a35-0caf04518008,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,AAPL,Apple Inc.,Equity,21.6,4488.48,5944.26,2025-06-17 13:37:44
hld_effa0c9d-7ad1-4dec-8a25-dfe923a39f24,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,GLD,SPDR Gold Shares,Commodity,280.03,37257.99,79803.05,2025-06-17 13:37:44
hld_08db102d-3d93-4e8a-822a-a0d3fc9f6bdf,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,BND,Vanguard Total Bond Market ETF,Fixed Income,445.03,233008.81,322146.14,2025-06-17 13:37:44
hld_340c9545-188e-4267-89c1-e4b16e09a10c,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,NVDA,NVIDIA Corporation,Equity,179.86,11102.76,17218.12,2025-06-17 13:37:44
hld_49e36cc0-c241-46f1-9ebb-e630773aef0d,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,BRK-B,Berkshire Hathaway Inc.,Equity,138.01,30108.26,34902.05,2025-06-17 13:37:44
hld_50d1763d-27cb-4d72-b3ba-cc8d3fcc99ce,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,AMZN,"Amazon.com, Inc.",Equity,444.66,100052.95,197582.11,2025-06-17 13:37:44
hld_99af27aa-e96b-48dc-815f-90a92427a9f4,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,TSLA,"Tesla, Inc.",Equity,451.48,344253.5,566884.58,2025-06-17 13:37:44
hld_683cb344-09f8-4f14-b99e-c08090eed9ee,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,JPM,JPMorgan Chase & Co.,Equity,281.93,44719.74,74048.42,2025-06-17 13:37:44
hld_4d0f5145-7d09-4dc9-8a2c-dd45673df922,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,AGG,iShares Core U.S. Aggregate Bond ETF,Fixed Income,297.37,169706.09,255868.31,2025-06-17 13:37:44
hld_5b6b9a26-44dd-48a0-907b-e81d795565eb,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,BTC-USD,Bitcoin,Cryptocurrency,401.69,170437.07,224102.87,2025-06-17 13:37:44
hld_3b482e8b-82c7-4f6b-8bb1-c7f221fb404c,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,GOOGL,Alphabet Inc.,Equity,447.52,109512.62,183028.93,2025-06-17 13:37:44
hld_cc1ea25c-2b4c-4de3-b8ca-0661465143e4,acc_3cf9840a-c42b-4314-ad0c-5bb178e23117,GLD,SPDR Gold Shares,Commodity,115.8,14311.72,27702.98,2025-06-17 13:37:44
hld_26c3909e-e6d3-42ea-834d-f1a769451c7b,acc_c3275420-2902-4884-92b9-1502cca5e202,AGG,iShares Core U.S. Aggregate Bond ETF,Fixed Income,492.81,81811.39,92871.37,2025-06-17 13:37:44
hld_c9092b0f-dfef-4eaa-9cea-47dd449a5aa9,acc_c3275420-2902-4884-92b9-1502cca5e202,BND,Vanguard Total Bond Market ETF,Fixed Income,471.47,448212.38,727127.26,2025-06-17 13:37:44
hld_55738f76-c842-442d-a0c2-7597779b04f1,acc_c3275420-2902-4884-92b9-1502cca5e202,JPM,JPMorgan Chase & Co.,Equity,219.2,140559.81,163181.57,2025-06-17 13:37:44
hld_25b92d44-7c8f-484a-acf1-5cd1eebaad31,acc_c3275420-2902-4884-92b9-1502cca5e202,AMZN,"Amazon.com, Inc.",Equity,483.4,217283.47,213942.21,2025-06-17 13:37:44
hld_6ef82e30-216f-4043-b930-10474f6ef4a6,acc_c3275420-2902-4884-92b9-1502cca5e202,V,Visa Inc.,Equity,170.04,147409.38,248870.66,2025-06-17 13:37:44
hld_1ddc13b6-f3ce-44ea-ae95-aacd435b4c01,acc_c3275420-2902-4884-92b9-1502cca5e202,GLD,SPDR Gold Shares,Commodity,136.36,24045.72,33542.33,2025-06-17 13:37:44
hld_3b269480-f02c-49a1-895c-75891c48f318,acc_c3275420-2902-4884-92b9-1502cca5e202,AAPL,Apple Inc.,Equity,127.19,6790.67,6770.26,2025-06-17 13:37:44
hld_386e9dd5-83fb-4c5a-9eff-b7de8cca0cf6,acc_c3275420-2902-4884-92b9-1502cca5e202,MSFT,Microsoft Corporation,Equity,445.39,45964.25,100368.05,2025-06-17 13:37:44
hld_a0795cb0-281c-4fed-b9fc-465449d0471f,acc_c3275420-2902-4884-92b9-1502cca5e202,GOOGL,Alphabet Inc.,Equity,221.06,96490.48,112937.67,2025-06-17 13:37:44
hld_e72a7e81-c94d-4abe-8046-483b97d804ed,acc_c3275420-2902-4884-92b9-1502cca5e202,TSLA,"Tesla, Inc.",Equity,423.81,318556.79,730300.1,2025-06-17 13:37:44
hld_d0147701-71d7-4862-a980-de1321ff83ab,acc_61aa9a4b-5c7b-4002-8b26-4769d97a1ac0,NVDA,NVIDIA Corporation,Equity,149.87,100272.02,124595.79,2025-06-17 13:37:44
hld_38bdd9d0-5fb0-4076-b048-5a1079d14ddd,acc_61aa9a4b-5c7b-4002-8b26-4769d97a1ac0,GLD,SPDR Gold Shares,Commodity,138.81,11783.58,28314.91,2025-06-17 13:37:44
hld_53939863-219c-452c-95de-5a7dfdc92508,acc_61aa9a4b-5c7b-4002-8b26-4769d97a1ac0,BND,Vanguard Total Bond Market ETF,Fixed Income,344.77,198108.29,272212.46,2025-06-17 13:37:44
hld_e041389f-7438-47c2-86f7-9397e49771f2,acc_61aa9a4b-5c7b-4002-8b26-4769d97a1ac0,GOOGL,Alphabet Inc.,Equity,463.81,336044.26,322657.8,2025-06-17 13:37:44
hld_ab8dc9dc-cb1d-41b2-b2fc-e2037bf76295,acc_61aa9a4b-5c7b-4002-8b26-4769d97a1ac0,AMZN,"Amazon.com, Inc.",Equity,13.84,4475.03,6555.39,2025-06-17 13:37:44
hld_4363624c-2d33-4849-a31e-66bebbafd257,acc_61aa9a4b-5c7b-4002-8b26-4769d97a1ac0,MSFT,Microsoft Corporation,Equity,106.91,52158.18,63774.2,2025-06-17 13:37:44
hld_27db8fe7-128d-4200-bbff-cfc633416912,acc_61aa9a4b-5c7b-4002-8b26-4769d97a1ac0,BTC-USD,Bitcoin,Cryptocurrency,158.07,52662.6,110972.43,2025-06-17 13:37:44
hld_1d430b03-fd7d-45d1-8fa6-f829965fecf4,acc_b5811cac-9c75-4bbd-bc86-893be2d8caeb,AMZN,"Amazon.com, Inc.",Equity,234.77,170151.91,212489.48,2025-06-17 13:37:44
hld_0c237e3d-8cfd-4c65-b658-e792dacfa060,acc_b5811cac-9c75-4bbd-bc86-893be2d8caeb,ETH-USD,Ethereum,Cryptocurrency,230.42,82465.01,165582.3,2025-06-17 13:37:44
hld_990cb92a-e8f4-4584-baf6-c2afb6a9d161,acc_b5811cac-9c75-4bbd-bc86-893be2d8caeb,BRK-B,Berkshire Hathaway Inc.,Equity,88.31,55160.19,71147.11,2025-06-17 13:37:44
hld_ff6d7524-aa0c-481d-8720-d9bf0eecda1d,acc_b5811cac-9c75-4bbd-bc86-893be2d8caeb,JPM,JPMorgan Chase & Co.,Equity,320.59,115309.81,201882.15,2025-06-17 13:37:44
hld_1fefec97-c81f-4c6a-9089-cb18e578f4c3,acc_b5811cac-9c75-4bbd-bc86-893be2d8caeb,BND,Vanguard Total Bond Market ETF,Fixed Income,374.36,218536.39,198688.83,2025-06-17 13:37:44
hld_24cd65bd-f59f-4947-b6cb-b6df99f9cea6,acc_b5811cac-9c75-4bbd-bc86-893be2d8caeb,TSLA,"Tesla, Inc.",Equity,130.55,121446.75,229817.45,2025-06-17 13:37:44
hld_23afb2dc-7b40-4b72-a562-d7332fd5a7d0,acc_b5811cac-9c75-4bbd-bc86-893be2d8caeb,BTC-USD,Bitcoin,Cryptocurrency,377.14,193601.05,389286.47,2025-06-17 13:37:44
hld_99361083-26a0-4eea-8156-ca1903e91544,acc_2d4258dd-d6fa-4829-bc18-675a49a5611a,AGG,iShares Core U.S. Aggregate Bond ETF,Fixed Income,129.27,91799.8,187020.84,2025-06-17 13:37:44
hld_495532d2-1ad4-476d-912b-02b6b5f7d1c4,acc_2d4258dd-d6fa-4829-bc18-675a49a5611a,AMZN,"Amazon.com, Inc.",Equity,417.99,226019.73,477496.92,2025-06-17 13:37:44
hld_7d08e1b7-eb93-4320-9ab0-0e2b579d7386,acc_2d4258dd-d6fa-4829-bc18-675a49a5611a,BND,Vanguard Total Bond Market ETF,Fixed Income,32.17,5037.5,5458.2,2025-06-17 13:37:44
hld_13c6d8f9-87db-45f3-9228-e68b330b9861,acc_2d4258dd-d6fa-4829-bc18-675a49a5611a,TSLA,"Tesla, Inc.",Equity,338.97,303096.8,515265.26,2025-06-17 13:37:44
hld_58e3d08d-3c79-4ed2-b47f-2d5afbf225a2,acc_2d4258dd-d6fa-4829-bc18-675a49a5611a,JPM,JPMorgan Chase & Co.,Equity,485.34,466431.15,555650.59,2025-06-17 13:37:44
hld_6c3756cc-10bf-4b36-b119-b099ddd2dd26,acc_2d4258dd-d6fa-4829-bc18-675a49a5611a,BTC-USD,Bitcoin,Cryptocurrency,289.83,238851.8,433822.56,2025-06-17 13:37:44
hld_3c729a9e-807a-45f7-806c-5c93ae963eb3,acc_2d4258dd-d6fa-4829-bc18-675a49a5611a,GOOGL,Alphabet Inc.,Equity,43.09,26463.29,49684.05,2025-06-17 13:37:44
hld_1c03925e-f104-48ea-afc4-574a63d674e1,acc_2d4258dd-d6fa-4829-bc18-675a49a5611a,MSFT,Microsoft Corporation,Equity,315.98,211185.23,245570.53,2025-06-17 13:37:44
hld_057d0084-8ad5-4bbb-b3be-b1e6530c1ff3,acc_2d4258dd-d6fa-4829-bc18-675a49a5611a,AAPL,Apple Inc.,Equity,104.93,9707.07,18192.6,2025-06-17 13:37:44
hld_30637b7c-ee9a-44ba-9b49-f1981d6dec89,acc_2d4258dd-d6fa-4829-bc18-675a49a5611a,V,Visa Inc.,Equity,71.86,54860.8,107058.63,2025-06-17 13:37:44
hld_9c522207-0ca6-47dd-a1f9-6d57bcf9e835,acc_2d4258dd-d6fa-4829-bc18-675a49a5611a,ETH-USD,Ethereum,Cryptocurrency,194.29,125336.48,159647.15,2025-06-17 13:37:44
hld_851523e1-4765-4298-af8d-8a6b10686dc7,acc_2d4258dd-d6fa-4829-bc18-675a49a5611a,BRK-B,Berkshire Hathaway Inc.,Equity,111.33,9294.94,21671.67,2025-06-17 13:37:44
hld_363ba49d-ff6b-40df-80b7-c3fd2d01199e,acc_2d4258dd-d6fa-4829-bc18-675a49a5611a,VNQ,Vanguard Real Estate ETF,Real Estate,38.53,24867.65,53926.08,2025-06-17 13:37:44
hld_5b1b667b-b180-4517-a917-df585dbb9635,acc_2d4258dd-d6fa-4829-bc18-675a49a5611a,NVDA,NVIDIA Corporation,Equity,181.22,110507.96,197729.54,2025-06-17 13:37:44
hld_228564ac-31bf-4eb6-9f24-e32899bbc5b8,acc_2d4258dd-d6fa-4829-bc18-675a49a5611a,GLD,SPDR Gold Shares,Commodity,105.12,59994.09,84470.17,2025-06-17 13:37:44
hld_f1f9076d-c69d-4e9d-b8d6-2e4a5af5c6aa,acc_5318c91f-e0a5-4e8f-a140-52c6602c6013,GLD,SPDR Gold Shares,Commodity,409.14,213260.13,357284.28,2025-06-17 13:37:44
hld_de46ad85-41cf-4029-8653-21e8c4c3f4bd,acc_5318c91f-e0a5-4e8f-a140-52c6602c6013,TSLA,"Tesla, Inc.",Equity,311.07,105129.22,187066.91,2025-06-17 13:37:44
hld_9df6a5e2-70cb-4d60-bb84-65d0e87dbe6f,acc_5318c91f-e0a5-4e8f-a140-52c6602c6013,ETH-USD,Ethereum,Cryptocurrency,298.49,226150.95,235986.86,2025-06-17 13:37:44
